,Date,Open*,High,Low,Close**,Volume,Market Cap
1,"Jan 16, 2019",0.326946,0.334796,0.326174,0.329701,"438,731,638","13,531,060,365"
2,"Jan 15, 2019",0.333912,0.336500,0.324011,0.327179,"429,283,720","13,427,555,274"
3,"Jan 14, 2019",0.318354,0.337942,0.318354,0.333766,"545,540,174","13,697,899,741"
4,"Jan 13, 2019",0.328662,0.333596,0.317098,0.317863,"452,358,902","13,045,216,854"
5,"Jan 12, 2019",0.333004,0.336381,0.328033,0.328800,"376,386,863","13,494,075,804"
6,"Jan 11, 2019",0.331284,0.337726,0.327914,0.332904,"501,054,509","13,662,512,032"
7,"Jan 10, 2019",0.371464,0.381949,0.327159,0.332652,"839,535,352","13,652,158,155"
8,"Jan 09, 2019",0.365886,0.373522,0.364756,0.370890,"455,908,708","15,130,140,419"
9,"Jan 08, 2019",0.364420,0.370992,0.360734,0.365315,"499,493,490","14,902,699,115"
10,"Jan 07, 2019",0.368854,0.377910,0.363387,0.364347,"499,028,522","14,863,201,414"
11,"Jan 06, 2019",0.354750,0.369660,0.352589,0.368395,"492,558,794","15,028,369,642"
12,"Jan 05, 2019",0.356347,0.361069,0.353987,0.355275,"452,090,239","14,493,133,457"
13,"Jan 04, 2019",0.359753,0.364642,0.352785,0.356747,"450,633,876","14,553,198,221"
14,"Jan 03, 2019",0.374505,0.374505,0.357675,0.360224,"438,873,803","14,695,011,676"
15,"Jan 02, 2019",0.365675,0.378021,0.359574,0.375243,"543,216,669","15,307,691,624"
16,"Jan 01, 2019",0.352512,0.364771,0.350402,0.364771,"449,347,622","14,880,496,658"
17,"Dec 31, 2018",0.371051,0.373793,0.350787,0.352706,"501,793,515","14,388,351,241"
18,"Dec 30, 2018",0.365248,0.371147,0.362264,0.369581,"486,955,034","15,076,740,856"
19,"Dec 29, 2018",0.378346,0.383937,0.367080,0.367252,"617,892,297","14,981,716,068"
20,"Dec 28, 2018",0.341807,0.379416,0.339139,0.376852,"765,420,103","15,373,342,678"
21,"Dec 27, 2018",0.379106,0.379608,0.336282,0.341162,"575,821,047","13,917,404,309"
22,"Dec 26, 2018",0.379991,0.391334,0.363441,0.378693,"690,588,635","15,448,432,552"
23,"Dec 25, 2018",0.408439,0.408439,0.369362,0.380872,"955,306,080","15,537,325,695"
24,"Dec 24, 2018",0.372398,0.448477,0.372398,0.406799,"1,688,430,313","16,594,994,618"
25,"Dec 23, 2018",0.363045,0.381476,0.361807,0.371270,"634,162,707","15,145,652,799"
26,"Dec 22, 2018",0.358885,0.362968,0.349870,0.362308,"487,175,830","14,780,047,340"
27,"Dec 21, 2018",0.376756,0.384089,0.354035,0.358570,"724,747,471","14,627,554,926"
28,"Dec 20, 2018",0.347361,0.388974,0.347056,0.378199,"1,006,287,680","15,416,266,366"
29,"Dec 19, 2018",0.355060,0.393330,0.348201,0.351956,"1,041,279,272","14,346,541,679"
30,"Dec 18, 2018",0.329022,0.350162,0.325291,0.350162,"753,758,217","14,273,429,559"
31,"Dec 17, 2018",0.288101,0.336501,0.286942,0.328453,"639,336,585","13,388,520,904"
32,"Dec 16, 2018",0.285911,0.294169,0.285890,0.287929,"316,135,928","11,784,050,729"
33,"Dec 15, 2018",0.288699,0.291372,0.282523,0.285883,"277,696,890","11,700,328,892"
34,"Dec 14, 2018",0.299972,0.300150,0.285112,0.288790,"320,266,797","11,819,314,866"
35,"Dec 13, 2018",0.307660,0.307800,0.298118,0.300026,"303,413,883","12,279,148,093"
36,"Dec 12, 2018",0.300671,0.311150,0.300671,0.307323,"370,325,300","12,577,803,841"
37,"Dec 11, 2018",0.303100,0.310343,0.298095,0.301345,"394,872,461","12,333,147,092"
38,"Dec 10, 2018",0.313485,0.316210,0.300600,0.303766,"386,627,711","12,432,208,489"
39,"Dec 09, 2018",0.306451,0.320144,0.304666,0.313370,"430,122,747","12,825,284,624"
40,"Dec 08, 2018",0.302440,0.318185,0.297232,0.307269,"463,529,471","12,575,595,451"
41,"Dec 07, 2018",0.310837,0.311059,0.291351,0.301997,"667,331,347","12,359,838,916"
42,"Dec 06, 2018",0.337083,0.342495,0.310360,0.310936,"517,551,018","12,539,238,458"
43,"Dec 05, 2018",0.352353,0.353309,0.338242,0.338242,"400,526,135","13,640,400,736"
44,"Dec 04, 2018",0.348534,0.361431,0.342528,0.352231,"445,334,425","14,204,552,399"
45,"Dec 03, 2018",0.368598,0.368598,0.346975,0.348754,"392,651,603","14,064,337,569"
46,"Dec 02, 2018",0.372162,0.378392,0.365732,0.367627,"335,732,170","14,825,428,858"
47,"Dec 01, 2018",0.362557,0.377056,0.357083,0.372906,"397,266,566","15,038,289,184"
48,"Nov 30, 2018",0.380538,0.381019,0.355205,0.362455,"512,041,152","14,616,841,112"
49,"Nov 29, 2018",0.391862,0.392465,0.373789,0.379562,"629,900,577","15,306,739,230"
50,"Nov 28, 2018",0.360313,0.401583,0.360313,0.390557,"774,818,000","15,750,125,594"
51,"Nov 27, 2018",0.353977,0.367645,0.342991,0.360163,"600,169,000","14,524,416,370"
52,"Nov 26, 2018",0.375553,0.388696,0.342019,0.355451,"1,032,000,000","14,334,393,936"
53,"Nov 25, 2018",0.374511,0.386333,0.324953,0.374551,"1,296,590,000","15,104,646,163"
54,"Nov 24, 2018",0.407844,0.416762,0.367354,0.375336,"626,279,000","15,136,303,126"
55,"Nov 23, 2018",0.425209,0.428205,0.398046,0.407428,"774,083,000","16,430,488,176"
56,"Nov 22, 2018",0.447948,0.448206,0.426080,0.426080,"480,044,000","17,182,673,753"
57,"Nov 21, 2018",0.436492,0.456144,0.416780,0.447651,"858,303,000","18,052,574,841"
58,"Nov 20, 2018",0.480279,0.496516,0.423672,0.434726,"1,538,310,000","17,531,343,950"
59,"Nov 19, 2018",0.510127,0.510127,0.472305,0.478166,"1,297,340,000","19,283,163,673"
60,"Nov 18, 2018",0.493419,0.522133,0.490330,0.510473,"884,280,000","20,557,640,500"
61,"Nov 17, 2018",0.472323,0.496730,0.466813,0.491654,"607,453,000","19,799,766,457"
62,"Nov 16, 2018",0.479232,0.485082,0.463771,0.471609,"593,572,000","18,992,519,249"
63,"Nov 15, 2018",0.472378,0.484565,0.432724,0.481708,"965,997,000","19,399,223,642"
